AnalyteName	Alias	CAS_Number	UnitName	BeneficialUse	Objective	AveragingPeroid	Objective_Language	Evaluation_Guideline	Objective_Ref_Number	Eval_Ref_Number
"Trichloroethane, 1,1,1-"	Trichloroethane	71-55-6	ug/L	MU	200	7	"The California Maximum Contaminant Level for 1, 1, 1-Trichloroethane incorporated by reference in the Water Quality Control Plan, Lahontan Region is 200 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
"Tetrachloroethane, 1,1,2,2-"	Tetrachloroethane	79-34-5	ug/L	CM	11	4	"The 1, 1, 2, 2-Tetrachloroethane criteria for the protection of human health from consumption of organisms only is 11 ug/L (California Toxics Rule, 2000)."		476	
"Tetrachloroethane, 1,1,2,2-"	Tetrachloroethane	79-34-5	ug/L	MU	0.17	4	"The 1, 1, 2, 2-Tetrachloroethane criteria for the protection of human health from the consumption of water and organisms is 0.17 ug/L (California Toxics Rule, 2000)."		476	
"Trichloro-1,2,2-trifluoroethane, 1,1,2-"	Trichloro-  -trifluoroethane	79131	ug/L	MU	1200	7	"The California Maximum Contaminant Level for 1, 1, 2-Trichloro-1, 2, 2-trifluoroethane incorporated by reference in the Water Quality Control Plan, Lahontan Region is 1,200 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
"Trichloroethane, 1,1,2-"	Trichloroethane	79-00-5	ug/L	CM	42	4	"The 1, 1, 2-Trichloroethane criteria for the protection of human health from consumption of organisms only is 42 ug/L (California Toxics Rule, 2000)."		476	
"Trichloroethane, 1,1,2-"	Trichloroethane	79-00-5	ug/L	MU	0.6	4	"The 1, 1, 2-Trichloroethane criteria for the protection of human health from the consumption of water and organisms is 0.60 ug/L (California Toxics Rule, 2000)."		476	
"Dichloroethane, 1,1-"	Dichloroethane	75343	ug/L	MU	5	7	"The California Maximum Contaminant Level for 1, 1-Dichloroethane incorporated by reference in the Water Quality Control Plan, Lahontan Region is 5 ug/L (Water Quality Control Plan, Lahontan Region). "		2430	
"Dichloroethylene, 1,1-"	Dichloroethylene	75354	ug/L	CM	3.2	4	"The 1, 1-Dichloroethylene criteria for the protection of human health from consumption of organisms only is 3.2 ug/L (California Toxics Rule, 2000)."		476	
"Dichloroethylene, 1,1-"	Dichloroethylene	75354	ug/L	MU	0.057	4	"The 1, 1-Dichloroethylene criteria for the protection of human health from the consumption of water and organisms is 0.057 ug/L (California Toxics Rule, 2000)."		476	
"Trichlorobenzene, 1,2,4-"	Trichlorobenzene	120-82-1	ug/L	MU	5	7	"The Water Quality Control Plan for the Lahontan Region∆s Objective for Municipal and Domestic Supply uses of inland surface waters states that waters designated as MUN shall not contain concentrations of chemical constituents in excess of the maximum contaminant level (MCL) or secondary maximum contaminant level (SMCL).  The maximum contaminant level listed in Table 64444-A for 1, 2, 4-Trichlorobenzene is 5 ug/L."		2430	
